anonymous-20120225-csu/wav/ru_0042,ведь ад и есть моё безнадёжное одиночество распростёртое в вечной тьме,V 0 E 0 T 0 A 0 T Y J E 0 S 0 T 0 M A J O 0 B 0 I Z N A D 0 O 0 Z H N A J I A D 0 I N O 0 C H I S T V A R A S P R A S 0 T 0 O 0 R T A J I V V 0 E 0 C H N A J T 0 M 0 E 0
anonymous-20120225-csu/wav/ru_0043,лось вкратце рассказал ему об условиях перелёта предупредил о возможном риске,L O 0 S 0 F K R A 0 C Y R A S K A Z A 0 L J I M U 0 A B U S L O 0 V 0 I J I H P 0 I R 0 I L 0 O 0 T A P R 0 I D U P R 0 I D 0 I 0 L A V A Z M O 0 Z H N A M R 0 I 0 S K 0 I
anonymous-20120225-csu/wav/ru_0044,предложил обеспечить семью и выдать жалованье вперёд деньгами и продуктами,P R 0 I D L A Z H Y 0 L A B 0 I S P 0 E 0 C H I T 0 S 0 I M 0 J U 0 I V Y 0 D A D Z H A 0 L A V A N 0 J I F 0 P 0 I R 0 O 0 D D 0 E 0 N 0 G A M 0 I P R A D U 0 K T A M 0 I
anonymous-20120225-csu/wav/ru_0045,сначала думали что это следы бурь в магнитных полях земли,S N A C H A 0 L A D U 0 M A L 0 I S H T O E 0 T A S 0 L 0 I D Y 0 B U 0 R 0 V M A G N 0 I 0 T N Y H P A L 0 A 0 H Z 0 I M L 0 I 0
anonymous-20120325-kqp/wav/ru_0058,осенний ветер над катей лежащей в земле под крестом,A S 0 E 0 N 0 I J V 0 E 0 T 0 I R N A T K A 0 T 0 I J L 0 I Z H A 0 S H 0 I J V Z 0 I M L 0 E 0 P A T K R 0 I S T O 0 M
anonymous-20120325-kqp/wav/ru_0059,накинул пальто и зашагал через пустырь на большую монетную улицу к себе на квартиру где полгода тому назад умерла катя,N A K 0 I 0 N U L P A L 0 T O 0 I Z A S H A G A 0 L C H I R 0 I S P U S T Y 0 R 0 N A B O 0 L 0 S H U J U M A N 0 E 0 T N U J U U 0 L 0 I C U K S 0 I B 0 E 0 N A K V A R T 0 I 0 R U G D 0 E 0 P A L G O 0 D A T A M U 0 N A Z A 0 T U M 0 I R L A 0 K A 0 T 0 A
anonymous-20120325-kqp/wav/ru_0060,он открыл дверь в спальню где после смерти кати он никогда не ночевал,O 0 N A T K R Y 0 L D V 0 E 0 R 0 F S P A 0 L 0 N 0 U G D 0 E 0 P A S 0 L 0 E 0 S M 0 E 0 R T 0 I K A 0 T 0 I O 0 N 0 I K A G D A 0 N 0 I N A C H I V A 0 L
anonymous-20120325-kqp/wav/ru_0062,над головой летела не могла улететь весёлая женщина с весёлыми младенцами,N A D G A L A V O 0 J L 0 I T 0 E 0 L A N 0 I M A G L A 0 U L 0 I T 0 E 0 T 0 V 0 I S 0 O 0 L A J A Z H E 0 N S H 0 I N A S V 0 I S 0 O 0 L Y M 0 I M L A D 0 E 0 N C A M 0 I
anonymous-20120325-kqp/wav/ru_0063,семь лет меня ни пуля ни штык не могли истребить,S 0 E 0 M 0 L 0 E 0 T M 0 I N 0 A 0 N 0 I P U 0 L 0 A N 0 I S H T Y 0 K N 0 I M A G L 0 I 0 I S T R 0 I B 0 I 0 T 0
anonymous-20120325-kqp/wav/ru_0064,он сел к столу начал лупить варёную картошку разломил окунул в соль на завтра приготовь чистое две смены рубашки подштаники подвёртки,O 0 N 0 S 0 E 0 L K S T A L U 0 N A 0 C H I L U P 0 I 0 T 0 V A R 0 O 0 N U J U K A R T O 0 S H K U R A Z L A M 0 I 0 L A K U N U 0 L F S O 0 L 0 N A Z A 0 F T R A P R 0 I G A T O 0 F 0 C H I 0 S T A J I D V 0 E 0 S M 0 E 0 N Y R U B A 0 S H K 0 I P A T S H T A 0 N 0 I K 0 I P A D V 0 O 0 R T K 0 I
anonymous-20120325-kqp/wav/ru_0065,шли с набережной бежали из переулков бубнили сбивались в кучки лежали на чахлой траве поглядывали на низкое солнце пустившее сквозь облака широкие лучи,S H L 0 I 0 S N A 0 B 0 I R 0 I Z H N A J B 0 I Z H A 0 L 0 I S P 0 I R 0 I U 0 L K A V B U B N 0 I 0 L 0 I Z B 0 I V A 0 L 0 I S 0 F K U 0 C H K 0 I L 0 I Z H A 0 L 0 I N A C H A 0 H L A J T R A V 0 E 0 P A G L 0 A 0 D Y V A L 0 I N A N 0 I 0 S K A J I S O 0 N C Y P U S 0 T 0 I 0 F S H Y J I S K V O 0 S 0 A B L A K A 0 S H Y R O 0 K 0 I J I L U C H I 0
anonymous-20120325-kqp/wav/ru_0066,до сумерек переливался говор шли разные разговоры в толпе ожидающей необыкновенного события,D A S U 0 M 0 I R 0 I K P 0 I R 0 I L 0 I V A 0 L S 0 A G O 0 V A R S H L 0 I 0 R A 0 Z N Y J I R A Z G A V O 0 R Y F T A L P 0 E 0 A Z H Y D A 0 J U S H 0 I J N 0 I A B Y K N A V 0 E 0 N A V A S A B Y 0 T 0 I J A
anonymous-20120325-kqp/wav/ru_0067,его ярко освещённая внутренность из стёганой ромбами жёлтой кожи была видна сквозь круглое отверстие люка,J I G O 0 J A 0 R K A S V 0 I S H 0 O 0 N A J A V N U 0 T R 0 I N A S 0 T 0 I S S 0 T 0 O 0 G A N A J R O 0 M B A M 0 I Z H O 0 L T A J K O 0 Z H Y B Y L A 0 V 0 I 0 D N A S K V O 0 S 0 K R U 0 G L A J I A T V 0 E 0 R S 0 T 0 I J I L 0 U 0 K A
anonymous-20120401-dfp/wav/ru_0062,над головой летела не могла улететь весёлая женщина с весёлыми младенцами,N A D G A L A V O 0 J L 0 I T 0 E 0 L A N 0 I M A G L A 0 U L 0 I T 0 E 0 T 0 V 0 I S 0 O 0 L A J A Z H E 0 N S H 0 I N A S V 0 I S 0 O 0 L Y M 0 I M L A D 0 E 0 N C A M 0 I
anonymous-20120401-dfp/wav/ru_0063,семь лет меня ни пуля ни штык не могли истребить,S 0 E 0 M 0 L 0 E 0 T M 0 I N 0 A 0 N 0 I P U 0 L 0 A N 0 I S H T Y 0 K N 0 I M A G L 0 I 0 I S T R 0 I B 0 I 0 T 0
anonymous-20120401-dfp/wav/ru_0064,он сел к столу начал лупить варёную картошку разломил окунул в соль на завтра приготовь чистое две смены рубашки подштаники подвёртки,O 0 N 0 S 0 E 0 L K S T A L U 0 N A 0 C H I L U P 0 I 0 T 0 V A R 0 O 0 N U J U K A R T O 0 S H K U R A Z L A M 0 I 0 L A K U N U 0 L F S O 0 L 0 N A Z A 0 F T R A P R 0 I G A T O 0 F 0 C H I 0 S T A J I D V 0 E 0 S M 0 E 0 N Y R U B A 0 S H K 0 I P A T S H T A 0 N 0 I K 0 I P A D V 0 O 0 R T K 0 I
anonymous-20120401-dfp/wav/ru_0065,шли с набережной бежали из переулков бубнили сбивались в кучки лежали на чахлой траве поглядывали на низкое солнце пустившее сквозь облака широкие лучи,S H L 0 I 0 S N A 0 B 0 I R 0 I Z H N A J B 0 I Z H A 0 L 0 I S P 0 I R 0 I U 0 L K A V B U B N 0 I 0 L 0 I Z B 0 I V A 0 L 0 I S 0 F K U 0 C H K 0 I L 0 I Z H A 0 L 0 I N A C H A 0 H L A J T R A V 0 E 0 P A G L 0 A 0 D Y V A L 0 I N A N 0 I 0 S K A J I S O 0 N C Y P U S 0 T 0 I 0 F S H Y J I S K V O 0 S 0 A B L A K A 0 S H Y R O 0 K 0 I J I L U C H I 0
anonymous-20120401-dfp/wav/ru_0066,до сумерек переливался говор шли разные разговоры в толпе ожидающей необыкновенного события,D A S U 0 M 0 I R 0 I K P 0 I R 0 I L 0 I V A 0 L S 0 A G O 0 V A R S H L 0 I 0 R A 0 Z N Y J I R A Z G A V O 0 R Y F T A L P 0 E 0 A Z H Y D A 0 J U S H 0 I J N 0 I A B Y K N A V 0 E 0 N A V A S A B Y 0 T 0 I J A
anonymous-20120401-dfp/wav/ru_0067,его ярко освещённая внутренность из стёганой ромбами жёлтой кожи была видна сквозь круглое отверстие люка,J I G O 0 J A 0 R K A S V 0 I S H 0 O 0 N A J A V N U 0 T R 0 I N A S 0 T 0 I S S 0 T 0 O 0 G A N A J R O 0 M B A M 0 I Z H O 0 L T A J K O 0 Z H Y B Y L A 0 V 0 I 0 D N A S K V O 0 S 0 K R U 0 G L A J I A T V 0 E 0 R S 0 T 0 I J I L 0 U 0 K A
anonymous-20120401-dfp/wav/ru_0068,недолго ждать когда пошатнётся даже разум единственные цепи на этом чудовище,N 0 I D O 0 L G A Z H D A 0 T 0 K A G D A 0 P A S H A T 0 N 0 O 0 C A D A 0 Z H Y R A 0 Z U M J I D 0 I 0 N S T V 0 I N Y J I C E 0 P 0 I N A E 0 T A M C H U D O 0 V 0 I S H 0 I
anonymous-20120401-dfp/wav/ru_0069,в молчании теперь тысячи людей глядели на квадратные освещённые окна сарая,V M A L C H A 0 N 0 I T 0 I P 0 E 0 R 0 T Y 0 S 0 I C H I L 0 U D 0 E 0 J G L 0 I D 0 E 0 L 0 I N A K V A D R A 0 T N Y J I A S V 0 I S H 0 O 0 N Y J I O 0 K N A S A R A 0 J A
anonymous-20120401-dfp/wav/ru_0070,электричество было потушено и бледный свет проникал сквозь стёкла глазков,I L 0 I K T R 0 I 0 C H I S T V A B Y 0 L A P A T U 0 S H Y N A I B L 0 E 0 D N Y J S V 0 E 0 T P R A N 0 I K A 0 L S K V O 0 S 0 T 0 O 0 K L A G L A S K O 0 F
anonymous-20120401-dfp/wav/ru_0071,лось чувствовал сердце бьётся чаще чаще уже не бьётся трепещет мучительно,L O 0 S 0 C H U 0 F S T V A V A L S 0 E 0 R C Y B 0 J O 0 C A C H A 0 S H 0 I C H A 0 S H 0 I U 0 Z H Y N 0 I B 0 J O 0 C A T R 0 I P 0 E 0 S H 0 I T M U C H I 0 T 0 I L 0 N A
anonymous-20120402-kby/wav/ru_0068,недолго ждать когда пошатнётся даже разум единственные цепи на этом чудовище,N 0 I D O 0 L G A Z H D A 0 T 0 K A G D A 0 P A S H A T 0 N 0 O 0 C A D A 0 Z H Y R A 0 Z U M J I D 0 I 0 N S T V 0 I N Y J I C E 0 P 0 I N A E 0 T A M C H U D O 0 V 0 I S H 0 I
anonymous-20120402-kby/wav/ru_0069,в молчании теперь тысячи людей глядели на квадратные освещённые окна сарая,V M A L C H A 0 N 0 I T 0 I P 0 E 0 R 0 T Y 0 S 0 I C H I L 0 U D 0 E 0 J G L 0 I D 0 E 0 L 0 I N A K V A D R A 0 T N Y J I A S V 0 I S H 0 O 0 N Y J I O 0 K N A S A R A 0 J A
anonymous-20120402-kby/wav/ru_0070,электричество было потушено и бледный свет проникал сквозь стёкла глазков,I L 0 I K T R 0 I 0 C H I S T V A B Y 0 L A P A T U 0 S H Y N A I B L 0 E 0 D N Y J S V 0 E 0 T P R A N 0 I K A 0 L S K V O 0 S 0 T 0 O 0 K L A G L A S K O 0 F
anonymous-20120402-kby/wav/ru_0071,лось чувствовал сердце бьётся чаще чаще уже не бьётся трепещет мучительно,L O 0 S 0 C H U 0 F S T V A V A L S 0 E 0 R C Y B 0 J O 0 C A C H A 0 S H 0 I C H A 0 S H 0 I U 0 Z H Y N 0 I B 0 J O 0 C A T R 0 I P 0 E 0 S H 0 I T M U C H I 0 T 0 I L 0 N A
anonymous-20120402-kby/wav/ru_0073,в один из глазков входил прямой ослепительный луч солнца,V A D 0 I 0 N Y Z G L A S K O 0 V F H A D 0 I 0 L P R 0 I M O 0 J A S 0 L 0 I P 0 I 0 T 0 I L 0 N Y J L U 0 C H S O 0 N C A
anonymous-20120402-kby/wav/ru_0074,лось с трудом оторвался от этого зрелища живоносного огня вселенной,L O 0 S 0 S T R U D O 0 M A T A R V A 0 L S 0 A T E 0 T A V A Z R 0 E 0 L 0 I S H 0 A Z H Y V A N O 0 S N A V A G N 0 A 0 F S 0 I L 0 E 0 N A J
anonymous-20120402-kby/wav/ru_0075,теперь уже ясно можно было видеть резкие длинные тени от скал они тянулись через оголённую ледяную равнину,T 0 I P 0 E 0 R 0 U 0 Z H Y J A 0 S N A M O 0 Z H N A B Y 0 L A V 0 I 0 D 0 I T 0 R 0 E 0 S K 0 I J I D 0 L 0 I 0 N Y J I T 0 E 0 N 0 I A T S K A 0 L A N 0 I 0 T 0 I N U 0 L 0 I S 0 C H I R 0 I Z A G A L 0 O 0 N U J U L 0 I D 0 I N U 0 J U R A V N 0 I 0 N U
anonymous-20120402-kby/wav/ru_0076,несколько линий точек и полукружий разбросано к западу и востоку от этой экваториальной группы,N 0 E 0 S K A L 0 K A L 0 I 0 N 0 I J T O 0 C H I K Y P A L U K R U 0 Z H Y J R A Z B R O 0 S A N A G Z A 0 P A D U I V A S T O 0 K U A T E 0 T A J I K V A T A R 0 I A 0 L 0 N A J G R U 0 P Y
anonymous-20120402-kby/wav/ru_0077,лось жадно вглядывался в эту сеть линий вот они сводящие с ума астрономов постоянно меняющиеся геометрически правильные непостигаемые каналы марса,L O 0 Z Z H A 0 D N A V G L 0 A 0 D Y V A L S 0 A V E 0 T U S 0 E 0 T 0 L 0 I 0 N 0 I J V O 0 T A N 0 I 0 S V A D 0 A 0 S H 0 I J I S U M A 0 A S T R A N O 0 M A F P A S T A J A 0 N A M 0 I N 0 A 0 J U S H 0 I J I S 0 A G 0 I A M 0 I T R 0 I 0 C H I S K 0 I P R A 0 V 0 I L 0 N Y J I N 0 I P A S 0 T 0 I G A 0 J I M Y J I K A N A 0 L Y M A 0 R S A
anonymous-20120402-kby/wav/ru_0078,лось кинулся к реостатам попали алексей иванович притягиваемся падаем,L O 0 S 0 K 0 I 0 N U L S 0 A K R 0 I A S T A 0 T A M P A P A 0 L 0 I A L 0 I K S 0 E 0 J I V A 0 N A V 0 I C H P R 0 I T 0 A 0 G 0 I V A J I M S 0 A P A 0 D A J I M
anonymous-20120411-eur/wav/ru_0031,поэтому я кладу на весь перелёт в безвоздушном пространстве шесть семь часов,P A E 0 T A M U J A 0 K L A D U 0 N A V 0 E 0 S 0 P 0 I R 0 I L 0 O 0 T V B 0 I Z V A Z D U 0 S H N A M P R A S T R A 0 N S T V 0 I S H E 0 S 0 T 0 S 0 E 0 M 0 C H I S O 0 F
anonymous-20120411-eur/wav/ru_0032,через несколько лет путешествие на марс будет не более сложно чем перелёт из москвы в берлин,C H I R 0 I Z N 0 E 0 S K A L 0 K A L 0 E 0 T P U T 0 I S H E 0 S T V 0 I J I N A M A 0 R Z B U 0 D 0 I T N 0 I B O 0 L 0 I J I S L O 0 Z H N A C H E 0 M P 0 I R 0 I L 0 O 0 T Y Z M A S K V Y 0 V B 0 I R L 0 I 0 N
anonymous-20120411-eur/wav/ru_0033,на глаз скайльс определил что яйцеобразный аппарат был не менее восьми с половиной метров высоты и шести метров в поперечнике,N A G L A 0 S K A 0 J L 0 S A P R 0 I D 0 I L 0 I 0 L S H T O J I J C Y A B R A 0 Z N Y J A P A R A 0 D B Y 0 L N 0 I M 0 E 0 N 0 I J I V A S 0 M 0 I 0 S P A L A V 0 I 0 N A J M 0 E 0 T R A V Y S A T Y 0 I S H Y S 0 T 0 I 0 M 0 E 0 T R A V F P A P 0 I R 0 E 0 C H N 0 I K 0 I
anonymous-20120411-eur/wav/ru_0034,его окружала двойная массивной стали круглая спираль свёрнутая в противоположные стороны буфер,J I G O 0 A K R U Z H A 0 L A D V A J N A 0 J A M A S 0 I 0 V N A J S T A 0 L 0 I K R U 0 G L A J A S P 0 I R A 0 L 0 S V 0 O 0 R N U T A J A F P R A T 0 I V A P A L O 0 Z H N Y J I S T O 0 R A N Y B U 0 F 0 I R
anonymous-20120411-eur/wav/ru_0035,аппарат был построен из мягкой и тугоплавкой стали внутри хорошо укреплён рёбрами и лёгкими фермами,A P A R A 0 D B Y 0 L P A S T R O 0 J I N Y Z M 0 A 0 H K A J I T U G A P L A 0 F K A J S T A 0 L 0 I V N U T R 0 I 0 H A R A S H O 0 U K R 0 I P L 0 O 0 N R 0 O 0 B R A M 0 I L 0 O 0 H 0 K 0 I M 0 I F 0 E 0 R M A M 0 I
anonymous-20120411-eur/wav/ru_0036,внутри этого второго кожаного стёганого яйца находились аппараты наблюдения и движения кислородные баки ящики для поглощения углекислоты полые подушки для инструментов и провизии,V N U T R 0 I 0 E 0 T A V A F T A R O 0 V A K O 0 Z H A N A V A S 0 T 0 O 0 G A N A V A J I J C A 0 N A H A D 0 I 0 L 0 I S 0 A P A R A 0 T Y N A B L 0 U D 0 E 0 N 0 I J A I D V 0 I Z H E 0 N 0 I J A K 0 I S L A R O 0 D N Y J I B A 0 K 0 I J A 0 S H 0 I K 0 I D 0 L 0 A P A G L A S H 0 E 0 N 0 I J A U G L 0 I K 0 I S L A T Y 0 P O 0 L Y J I P A D U 0 S H K 0 I D 0 L 0 A I N S T R U M 0 E 0 N T A V Y P R A V 0 I 0 Z 0 I
anonymous-20120411-eur/wav/ru_0037,таков в общих чертах был принцип движущего механизма это была ракета,T A K O 0 V O 0 P S H 0 I H C H I R T A 0 H B Y 0 L P R 0 I 0 N C Y B D V 0 I 0 Z H U S H 0 I V A M 0 I H A N 0 I 0 Z M A E 0 T A B Y L A 0 R A K 0 E 0 T A
anonymous-20120411-eur/wav/ru_0038,аванс шесть фельетонов по двести строк чек можете учесть в стокгольме,A V A 0 N S S H E 0 S 0 T 0 F 0 I L 0 J I T O 0 N A F P A D V 0 E 0 S 0 T 0 I S T R O 0 K C H E 0 K M O 0 Z H Y T 0 I U C H E 0 S 0 T 0 F S T A G O 0 L 0 M 0 I
anonymous-20120411-eur/wav/ru_0039,что у этой барышни было в голове не пойму до сих пор,S H T O U E 0 T A J B A 0 R Y S H N 0 I B Y 0 L A V G A L A V 0 E 0 N 0 I P A J M U 0 D A S 0 I 0 H P O 0 R
anonymous-20120411-eur/wav/ru_0040,лицо его в эту минуту казалось утомлённым лоб сморщился,L 0 I C O 0 J I G O 0 V E 0 T U M 0 I N U 0 T U K A Z A 0 L A S 0 U T A M L 0 O 0 N Y M L O 0 P S M O 0 R 0 S H 0 I L S 0 A
anonymous-20120411-uuo/wav/ru_0051,в деревню ехать отец с матерью померли братья убиты земля заброшена,V D 0 I R 0 E 0 V N 0 U J E 0 H A T 0 A T 0 E 0 C S M A 0 T 0 I R 0 J U P O 0 M 0 I R L 0 I B R A 0 T 0 J A U B 0 I 0 T Y Z 0 I M L 0 A 0 Z A B R O 0 S H Y N A
anonymous-20120411-uuo/wav/ru_0052,я вам на марсе пригожусь ну очень рад сказал лось подавая ему руку до завтра,J A 0 V A 0 M N A M A 0 R S 0 I P R 0 I G A Z H U 0 S 0 N U 0 O 0 C H I N 0 R A 0 T S K A Z A 0 L O 0 S 0 P A D A V A 0 J A J I M U 0 R U 0 K U D A Z A 0 F T R A
anonymous-20120411-uuo/wav/ru_0053,лось показал гусеву механизм движения и важнейшие приборы гусев оказался ловким и сметливым человеком,L O 0 S 0 P A K A Z A 0 L G U 0 S 0 I V U M 0 I H A N 0 I 0 Z M D V 0 I Z H E 0 N 0 I J A I V A Z H N 0 E 0 J S H Y J I P R 0 I B O 0 R Y G U 0 S 0 I V A K A Z A 0 L S 0 A L O 0 F K 0 I M Y S M 0 I T 0 L 0 I 0 V Y M C H I L A V 0 E 0 K A M
anonymous-20120411-uuo/wav/ru_0054,он целует её в щёки в лоб в закрытые веки,O 0 N C Y L U 0 J I T J I J O 0 F S H 0 O 0 K 0 I V L O 0 P V Z A K R Y 0 T Y J I V 0 E 0 K 0 I
